Change Component Designator: OldDesignator= NewDesignator=P8
Change Component Designator: OldDesignator= NewDesignator=P9
Added Pin To Net: NetName=AOUTG Pin=J_audio-0
Added Pin To Net: NetName=AOUTG Pin=J_audio-0
Added Pin To Net: NetName=AOUTG Pin=J_audio-0
Added Pin To Net: NetName=AOUTG Pin=J_audio-0
Added Pin To Net: NetName=AOUTG Pin=J_audio-0
Added Pin To Net: NetName=AOUTG Pin=J_audio-0
Added Pin To Net: NetName=AOUTG Pin=J_audio-0
Added Pin To Net: NetName=AOUTG Pin=J_audio-0
Added Pin To Net: NetName=AOUTG Pin=J_audio-0
Added Pin To Net: NetName=AOUTG Pin=J_audio-0
Added Pin To Net: NetName=AOUTR Pin=J_audio-0
Added Pin To Net: NetName=AOUTR Pin=J_audio-0
Added Pin To Net: NetName=AOUTR Pin=J_audio-0
Added Pin To Net: NetName=AOUTR Pin=J_audio-0
Added Pin To Net: NetName=AOUTR Pin=J_audio-0
Added Pin To Net: NetName=AOUTR Pin=J_audio-0
Added Pin To Net: NetName=AOUTR Pin=J_audio-0
Added Pin To Net: NetName=AOUTR Pin=J_audio-0
Added Pin To Net: NetName=AOUTR Pin=J_audio-0
Added Pin To Net: NetName=AOUTR Pin=J_audio-0
Added Pin To Net: NetName=AOUTR Pin=J_audio-0
Added Pin To Net: NetName=AOUTR Pin=J_audio-0
Added Pin To Net: NetName=AOUTR Pin=J_audio-0
Added Pin To Net: NetName=AOUTR Pin=J_audio-0
Added Pin To Net: NetName=AOUTR Pin=J_audio-0
Added Pin To Net: NetName=AOUTR Pin=J_audio-0
Added Pin To Net: NetName=AOUTR Pin=J_audio-0
Added Pin To Net: NetName=AOUTR Pin=J_audio-0
Added Pin To Net: NetName=AOUTR Pin=J_audio-0
Added Pin To Net: NetName=AOUTR Pin=J_audio-0
Added Member To Class: ClassName=audio Member=Component MCU_JA Header 3X2
Added Member To Class: ClassName=audio Member=Component P8 Header 3X2
